Topic 1: jalan, andra, curug, tahura, area, tuju, bangun, rombong, carita, banten
Topic 2: jalan, rusak, lubang, kalau, depok, hujan, tumpang, gorong, terminal, kubang
Topic 3: budi, arie, kapal, online, judi, kri, kasus, jakarta, menteri, gibran
Topic 4: ui, kata, korban, mkgr, dana, prabowo, abadi, baca, laku, jadi
Topic 5: laku, baca, rumah, iklan, klik, berita, sedikit, dapat, sini, jadi
Topic 6: malaysia, israel, manusia, kapal, sumud, global, flotilla, hak, armada, anwar
Topic 7: kapal, orang, awak, salah, kata, baca, selidik, pesiar, cutfield, jaksa
Topic 8: jadi, daerah, bencana, sebut, lalu, bima, putri, kata, sistem, mitigasi
Topic 9: hasto, sangka, ganja, tetap, rizky, kue, tangsel, pasal, pdip, rafi
Topic 10: israel, negara, korban, iran, puan, mati, kata, jakarta, laku, senjata
Topic 11: jadi, harga, rp, ecer, kata, naik, pangkal, jakarta, jual, gas
Topic 12: indonesia, puasa, ccs, wni, laku, barang, pulang, menteri, ramadhan, perintah
Topic 13: tani, pupuk, subsidi, khudori, jadi, alami, motor, mobil, masalah, kata
Topic 14: presiden, prabowo, umum, jokowi, negara, ri, adat, pidato, kata, ketua
Topic 15: baca, jadi, hotel, guru, hingga, sini, berita, iklan, klik, sedikit
